VinePatch_ID,Anlep,Asgan,Birep,Caame,Cacae,Camuc,Ceplum,Cepub,Cipar,Civer,Diala,Dirot,Golup,Hepur,Ipalb,Ipbat,Ipset,Iptil,Jaflu,Lapur,Malat,Medis,Mepen,Mequi,Meumb,Mifra,Mimic,Mocha,Mupru,Parub,Phcon,Phher,Phlun,Phvul,Pupha,Rhmin,Seedu,SePol,Sypod,Teunc,Thala,Thfra,Tucor,Vasca,Viade,Vihos,Vilong,Vilut,Vivex,Num_spp,Tw,Ten,AR,Sc,Native,Alien
P19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428,0,0,0,0,0,0,0,0,0,0,0,0.24,0.05,0.05,0.05,0,0,0,0,0.62,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.14,7,0.942,0.058,0,0,0.53,0.47
P20,0,0,0,0,0,0,0,0,0,0.09,0.05,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0.24,0.05,0.05,0.05,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.858,0.142,0,0,0.5,0.5
P21,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.75,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,5,0.84,0.08,0.08,0,0,1
P22,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.818,0.182,0,0,0.55,0.45
P23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0.38,0.63
P24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0.05,0,0,0.75,0,0.7,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0
P25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,4,1,0,0,0,0.55,0.45
P26,0.23,0,0,0,0,0,0,0,0,0.12,0.06,0,0.06,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0.23,0,0,0,0,0.06,0,0,0.06,0,0,0,0.12,0,0,0.29,0,0,0,0,0,0,0,10,0.563,0.304,0.133,0,0.44,0.56
P27,0.65,0,0,0,0,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.25,0.05,0,0.05,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,9,0.345,0.621,0.034,0,0.48,0.52
P28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.67,0,0,0,0,0,0,0,0,0,0.07,0,0,0.13,0,0,0,0,0,0,0,5,0.935,0,0.065,0,0.81,0.19
P29,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0.2,0,0,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,6,0.4,0.12,0.48,0,0.48,0.52
P30,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0.01,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.892,0.108,0,0,0.9,0.1
P31,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0.05,0,0,0,0.05,0.65,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,6,0.818,0.045,0.136,0,0.82,0.18
P32,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.123,0.877,0,0,0,1
P33,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0.07,5,1,0,0,0,0.86,0.14
P34,0,0,0,0,0,0,0,0,0,0,0.3,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.4,0.2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,11,0.706,0.294,0,0,0.71,0.29
P35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0.15,0,0,0,0.3,0,0,0,0,0,0.05,0,0.6,0,0,0,0.05,0,0,0,0,0,0,0,0,0.25,0,7,0.897,0.077,0.026,0,0.64,0.36
P36,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0.05,0,0,0,0,0,0,0,0.01,0.4,0,0.2,0,0,0,0.1,0,0,0.05,0,9,0.714,0.037,0.248,0,0.35,0.65
P37,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.2,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0.01,0,6,0.215,0.083,0.702,0,0.3,0.7
P38,0,0,0,0,0,0,0,0,0,0.01,0,0,0.05,0.1,0,0,0,0.35,0,0.01,0,0,0,0,0,0.25,0.1,0.01,0.01,0,0,0,0.05,0,0,0,0,0.01,0.35,0.05,0,0.01,0,0,0,0,0,0.05,0,15,0.695,0.057,0.248,0,0.7,0.3
P39,0,0,0,0.1,0,0,0,0,0,0.25,0,0,0,0,0,0,0.6,0,0,0,0,0,0.2,0,0,0,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0.2,0,8,0.55,0.375,0.075,0,0.83,0.18
P40,0,0,0,0,0,0,0,0,0,0.05,0.1,0,0,0,0,0,0,0.25,0,0.1,0,0,0.05,0,0,0.05,0.1,0,0,0,0,0.15,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0.01,9,0.404,0.066,0.53,0,0.44,0.56
P41,0,0,0,0,0.2,0,0,0,0,0.1,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.931,0.069,0,0,0.86,0.14
P42,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0.15,0,0,0,0,0,0,0,0.25,0,0,0,0.5,0,0,0,0,0,0,0,0.35,0,0,0,0.15,0,0.35,0,0,0,0,0,0,0,0,7,0.81,0.119,0.071,0,0.43,0.57
P43,0,0,0,0,0,0,0,0,0.06,0.06,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.954,0.046,0,0,0.86,0.14
P44,0,0,0,0,0,0,0,0.01,0,0.05,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.05,0.45,0,0,0,0,0,0,0,0.8,0,0,0,0.05,0,0,0.15,0,0,0,0,0,0,0.05,8,0.948,0.026,0.026,0,0.48,0.52
P45,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.8,0,0,0,0,0,0,0,0.05,0,0,0,0.35,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.25,0,0,0,0,0,0.1,0,0,7,0.95,0.05,0,0,0.63,0.38
P46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.4,0,0,0,0,0,0,0,0.01,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.4,0,6,1,0,0,0,1,0
P47,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,6,0.688,0.313,0,0,0.56,0.44
P48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0.15,0.05,0,0,0.05,0,0,0,0,0,0,0,0.8,0,0.4,0,0,0,0,0,0,0,0,7,0.429,0.086,0.486,0,0.17,0.83
P49,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0.15,0,0.15,0,0.1,0,0,0,0,0,0,0.05,0,7,0.818,0.091,0.091,0,0.67,0.33
P50,0,0,0,0,0,0.2,0,0,0,0.05,0,0,0,0,0,0,0,0.45,0,0,0,0,0.05,0,0,0,0.4,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0.15,0,0,0,0,0,0,0.3,0,9,0.882,0.088,0.029,0,0.76,0.24
P51,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.3,0,0,0,0,0.05,0,0,0,0.45,0,0,0,0,0,0,0,0.05,0,0,0,0.5,0,0,0,0,0,0,0.05,0,0,0,7,0.621,0.034,0.345,0,0.55,0.45
P52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.08,0,0,0.5,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0
